type,neighborhood,address,price,geo,beds,baths,sqft,url
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Astoria,31-43 Vernon Boulevard #508,"$2,376","40.76819992,-73.93560028",Studio,1 Bath,451,https://streeteasy.com/building/vernon-tower/508?featured=1
Co-op,Forest Hills,110-11 72nd Avenue #1G,"$2,000","40.72134696,-73.8403669",1 Bed,1 Bath,950,https://streeteasy.com/building/barclay-plaza-north/1g
Rental Unit,Hunters Point,11-15 46 Road #4H,"$2,200","40.7458174,-73.94991163",1 Bed,1 Bath,NA,https://streeteasy.com/building/11_15-46-road-long_island_city/4h
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Lenox Hill,1369 First Avenue #5D,"$2,395","40.76896616,-73.95556221",1 Bed,1 Bath,NA,https://streeteasy.com/building/1369-1-avenue-new_york/5d
Rental Unit,Washington Heights,523 West 160th Street #5A,"$1,990","40.83539963,-73.94180298",1 Bed,1 Bath,NA,https://streeteasy.com/building/523-west-160-street-new_york/5a
Rental Unit,Rego Park,66-23 Austin Street #2C,"$1,925","40.72487921,-73.85687497",1 Bed,1 Bath,740,https://streeteasy.com/building/66_23-austin-street-rego_park/rental/3893886
Rental Unit,Upper West Side,330 West 85th Street #4F,"$2,300","40.78847701,-73.97960008",Studio,1 Bath,NA,https://streeteasy.com/building/328-west-85-street-new_york/4f
Rental Unit,Kew Gardens,83-57 118th Street #APT5FL,"$1,650","40.70578309,-73.83381099",Studio,1 Bath,625,https://streeteasy.com/building/83_57-118-street-kew_gardens/apt5fl
Condo,Murray Hill,155 East 38th Street #7C,"$2,400","40.74860001,-73.97650146",Studio,1 Bath,NA,https://streeteasy.com/building/155-east-38-street-new_york/7c
Rental Unit,Lenox Hill,329 East 63rd Street #11,"$2,200","40.76273757,-73.96103529",Studio,1 Bath,NA,https://streeteasy.com/building/329-east-63-street-new_york/11
Rental Unit,Kips Bay,220 East 29th Street #32,"$2,275","40.74185477,-73.97925348",Studio,1 Bath,NA,https://streeteasy.com/building/220-east-29-street-new_york/32
Co-op,Lenox Hill,221 East 76th Street #1B,"$2,200","40.77209854,-73.95749664",Studio,1 Bath,NA,https://streeteasy.com/building/221-east-76-street-new_york/1b
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Co-op,Forest Hills,111-09 66th Avenue #1C,"$1,980","40.73139954,-73.84539795",1 Bed,1 Bath,NA,https://streeteasy.com/building/111_01-66-avenue-forest_hills/1c
