type,place,address,price,beds,baths,sqft,url,work_time,work_lines,friend_time,friend_lines,park_acres,Borough,arrests
Rental Unit,Kensington,430 Ocean Parkway #4K,1925,1 Bed,1 Bath,NA,https://streeteasy.com/building/430-ocean-parkway-brooklyn/4k,43,2,84,2,6.6,Brooklyn,1.2
Rental Unit,Upper West Side,162 West 80th Street #2H,2400,Studio,1 Bath,NA,https://streeteasy.com/building/162-west-80-street-new_york/2h,31,1,51,2,49.5,Manhattan,46.1
Co-op,Forest Hills,110-55 72 Road #505,1675,Studio,1 Bath,NA,https://streeteasy.com/building/110_55-72-road-forest_hills/505,64,1,51,2,33.7,Queens,0.8
Rental Unit,Rego Park,64-45 Booth Street #309,2100,1 Bed,1 Bath,975,https://streeteasy.com/building/64_45-booth-street-rego_park/309,57,1,47,2,0,Queens,1.9
Rental Unit,Briarwood,138-28 Queens Boulevard #2J,2400,1 Bed,1 Bath,570,https://streeteasy.com/building/le-tour/2j?infeed=1,71,2,60,2,1.1,Queens,5.3
Rental Unit,Windsor Terrace,31 Ocean Parkway #12,2390,1 Bed,1 Bath,NA,https://streeteasy.com/building/31-ocean-parkway-brooklyn/12,43,2,82,2,51.1,Brooklyn,3
Rental Unit,Bath Beach,8635 21st Avenue #2E,1525,Studio,1 Bath,500,https://streeteasy.com/building/8633-21-avenue-brooklyn/2e,54,2,88,2,5.1,Brooklyn,2.2
Rental Unit,Prospect Park South,1915 Beverley Road #503,2600,Studio,1 Bath,NA,https://streeteasy.com/building/1915-beverley-road-brooklyn/503,42,2,79,2,0,Brooklyn,2.9
Rental Unit,Kew Gardens,125-10 Queens Boulevard #1503,1895,Studio,1 Bath,NA,https://streeteasy.com/building/125_10-queens-boulevard-kew_gardens/1503,65,1,60,2,1.6,Queens,34.7
Rental Unit,Kew Gardens Hills,150-45 72 Road #1HH,1999,1 Bed,1 Bath,NA,https://streeteasy.com/building/150_45-72-road-flushing/1hh,81,2,72,3,0.8,Queens,2.4
Rental Unit,Kew Gardens Hills,72-50 153rd Street #1H,1999,1 Bed,1 Bath,NA,https://streeteasy.com/building/72_50-153-street-flushing/1h,81,2,74,3,0.9,Queens,2.9
Rental Unit,Rego Park,94-19 66th Avenue #6A,2000,1 Bed,1 Bath,NA,https://streeteasy.com/building/94_19-66-avenue-rego_park/6a,64,1,55,2,0,Queens,1.9
Rental Unit,Lenox Hill,425 East 74th Street #3D,2400,Studio,1 Bath,NA,https://streeteasy.com/building/425-east-74-street-new_york/3d,39,2,47,2,1.6,Manhattan,1
Rental Unit,Manhattan Valley,82 West 105th Street #4C,2295,Studio,1 Bath,NA,https://streeteasy.com/building/the-parker-house/4c,37,1,62,2,31,Manhattan,37.3
Rental Unit,Kensington,49 Parkville Avenue #A5,2200,Studio,1 Bath,NA,https://streeteasy.com/building/49-parkville-avenue-brooklyn/a5,43,2,84,2,9.6,Brooklyn,156.5
Rental Unit,Bath Beach,8635 21st Avenue #7N,1900,1 Bed,1 Bath,NA,https://streeteasy.com/building/8633-21-avenue-brooklyn/7n,54,2,88,2,5.1,Brooklyn,2.2
Rental Unit,Hell's Kitchen,415 West 56th Street #VX,2250,Studio,1 Bath,NA,https://streeteasy.com/building/415-west-56-street-new_york/vx,32,1,41,1,16.7,Manhattan,0.9
Condo,Middle Village,62-98 Woodhaven Boulevard #5K,2200,1 Bed,1 Bath,721,https://streeteasy.com/building/62_98-woodhaven-boulevard-middle_village/rental/3897115,71,1,71,2,12.7,Queens,0.9
Rental Unit,Murray Hill (Queens),144-45 35th Avenue #1G,1650,Studio,1 Bath,NA,https://streeteasy.com/building/144_45-35-avenue-flushing/1g,67,2,62,3,3,Queens,2.1
Rental Unit,Murray Hill (Queens),144-45 35th Avenue #4S,1874,1 Bed,1 Bath,NA,https://streeteasy.com/building/144_45-35-avenue-flushing/4s,67,2,62,3,3,Queens,2.1
Co-op,Murray Hill,314 East 41st Street #203B,2100,Studio,1 Bath,300,https://streeteasy.com/building/314-east-41-street-new_york/203b,27,1,41,2,1.1,Manhattan,2.2
Co-op,Washington Heights,70 Haven Avenue #4D,2400,1 Bed,1 Bath,700,https://streeteasy.com/building/70-haven-avenue-new_york/rental/3896890,41,1,62,2,14.6,Manhattan,2
Rental Unit,Lincoln Square,243 West 63rd Street #3E,2250,Studio,1 Bath,NA,https://streeteasy.com/building/243-west-63-street-new_york/3e,37,1,51,2,19.8,Manhattan,3.9
Rental Unit,Washington Heights,79 Haven Avenue #15,2300,1 Bed,1 Bath,500,https://streeteasy.com/building/79-haven-avenue-new_york/15,47,1,74,2,14.6,Manhattan,2
Condo,Fort Hamilton,131 95th Street #3E,2300,1 Bed,1 Bath,800,https://streeteasy.com/building/127-95-street-brooklyn/3e,54,1,88,2,23.9,Brooklyn,1.9
Co-op,Yorkville,519 East 81st Street #A,1995,Studio,1 Bath,NA,https://streeteasy.com/building/519-east-81-street-new_york/a,43,2,55,2,1.2,Manhattan,0.3
